emotion,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
disgust,0.25145966,0.35157084,0.32361344,0.32054928,0.18463232,0.0,0.31320515,0.816144,0.0,0.13872367,0.489756,0.30377048,0.2869135,1.0,0.50152427,0.21286333,0.933389,0.19679204,0.21990201,0.2871812
happy,0.45194942,0.26369536,0.47760355,0.34533706,0.85588765,1.0,0.6349324,0.17247833,0.0,0.87961525,0.7128769,0.1637135,0.58403516,0.0,0.20060776,0.23042893,0.4773614,0.05589672,0.2218285,0.7693194
neutral,0.46229455,0.36858046,0.6781127,0.38974768,0.16546999,0.0,0.28520206,0.018904412,0.0,0.252501,0.58723956,0.26775652,0.33493206,0.0,0.51597434,0.511533,0.16590615,0.15031901,0.13197748,0.18742906
happy,0.53250647,0.25228202,0.51283777,0.37242514,0.21875553,0.0,0.380424,0.08045263,1.0,0.5041378,0.37841108,0.22204424,0.49361444,0.0,0.6929,0.45576152,0.07735854,0.070743196,0.4318962,0.47598666
neutral,0.3349406,0.20357583,0.5550496,0.31018382,0.24850172,1.0,0.44681925,0.12794644,1.0,0.26985583,0.24680814,0.16810459,0.4309852,1.0,0.56825745,0.39642942,0.27688405,0.11427294,0.23641741,0.39384845
angry,0.36505657,0.28093624,0.721301,0.28362012,0.6018263,1.0,0.6864948,0.5680901,0.0,0.3066462,0.5936303,0.5484837,0.39621565,1.0,0.36618426,0.20418406,0.94913995,0.32823545,0.12783216,0.7230501
happy,0.34505665,0.35842118,0.7069544,0.27358907,0.67742205,1.0,0.57376224,0.8078789,1.0,0.85874224,0.83277225,0.29873192,0.53411686,1.0,0.40515202,0.55856884,0.43390787,0.09183305,0.1810844,0.7735094
surprise,0.2473714,0.3407208,0.3024154,0.31309947,0.16927248,0.0,0.300335,0.43195805,1.0,0.045722302,0.5609995,0.15614101,0.47381443,0.0,0.38087684,0.47003597,0.75027573,0.1519557,0.2884837,0.20359106
angry,0.38671044,0.37675643,0.71665263,0.2693325,0.42133796,1.0,0.62223095,0.5798784,0.0,0.17188452,0.7618838,0.61718345,0.5075639,0.0,0.54438287,0.5341335,0.40503514,0.1390934,0.0571808,0.51270306
neutral,0.57881284,0.5112568,0.26274735,0.5086963,0.081716515,1.0,0.31967306,0.0024466806,1.0,0.07268736,0.30793595,0.5605495,0.38670525,0.0,0.37151948,0.33038777,0.04811306,0.13964239,0.21853848,0.21017477
neutral,0.60639036,0.6343727,0.13144998,0.72922885,0.061175488,0.0,0.1098971,0.0035993815,1.0,0.03984163,0.25315142,0.20478532,0.44598448,0.0,0.6114816,0.32624197,0.41471967,0.09896204,0.11456111,0.044284895
neutral,0.33072934,0.27878144,0.12151573,0.41723424,0.12520455,0.0,0.12888023,0.013397279,0.0,0.06282873,0.16560371,0.093081206,0.42759648,0.0,0.44757307,0.19715111,0.86059946,0.08359635,0.024640102,0.05449479
happy,0.3317784,0.18582533,0.13103718,0.31390473,0.80370474,0.0,0.42046103,0.16261177,0.0,0.876244,0.68380165,0.2549411,0.5599023,0.0,0.5095952,0.5823757,0.07756824,0.15749103,0.2024878,0.80974364
happy,0.48045242,0.23981698,0.44292435,0.337635,0.39833868,1.0,0.34867653,0.071920745,0.0,0.82672805,0.5695432,0.08753451,0.5459412,0.0,0.4997679,0.43333593,0.9507875,0.08686241,0.3199613,0.25618
neutral,0.1967153,0.19468763,0.18051116,0.33396938,0.5762132,1.0,0.46131524,0.11319151,0.0,0.46800464,0.5653114,0.09818067,0.41818112,0.0,0.43226066,0.31246924,0.43130422,0.13491403,0.3380001,0.38214567
surprise,0.31184936,0.26216322,0.24553187,0.45534176,0.35145536,0.0,0.32960021,0.91595,1.0,0.6982406,0.5993603,0.24545348,0.22718658,1.0,0.46695665,0.19647819,0.9989918,0.73942494,0.06738494,0.14953364
surprise,0.38679,0.19809243,0.3873941,0.3664025,0.3356882,1.0,0.43757284,0.029173153,1.0,0.2191385,0.1630571,0.10494743,0.35299337,1.0,0.52564865,0.02035062,0.9998921,0.6759647,0.11362432,0.35910794
happy,0.31398466,0.25364283,0.25715286,0.2513114,0.8894984,1.0,0.555163,0.9958332,1.0,0.9322849,0.8514228,0.38783866,0.58094317,0.0,0.2659097,0.7742274,0.42539525,0.037428446,0.6321781,0.22395052
happy,0.34604144,0.23840083,0.47039402,0.2786225,0.5415823,1.0,0.47897723,0.078540035,1.0,0.6414182,0.68835026,0.45027852,0.444998,0.0,0.29402602,0.37080157,0.049175553,0.08707124,0.37465113,0.7953985
sad,0.3124107,0.1176384,0.36505488,0.28323418,0.31992868,1.0,0.24516861,0.11972284,1.0,0.08335726,0.33489648,0.36114103,0.42591462,0.0,0.30024496,0.46530244,0.021543393,0.2121819,0.08621071,0.21770917
surprise,0.41137683,0.22846156,0.4178768,0.25516796,0.22501633,1.0,0.33984864,0.5877147,1.0,0.09664822,0.43147492,0.15771653,0.35508224,0.0,0.34065342,0.54303396,0.47704417,0.13261719,0.12966079,0.31165242
fear,0.26949444,0.18003233,0.19148442,0.3678485,0.18403889,0.0,0.25693864,0.002968717,1.0,0.035059396,0.2420682,0.082750246,0.31384438,0.0,0.5978394,0.23255366,0.85774755,0.11992635,0.4737003,0.16507694
neutral,0.2540783,0.2169058,0.1269544,0.445154,0.2661794,0.0,0.3473486,0.0010529867,0.0,0.26992032,0.22859567,0.36309198,0.4334063,0.0,0.52635235,0.44516975,0.26905403,0.07222257,0.10934048,0.26400605
surprise,0.2348793,0.22368965,0.15058835,0.40245163,0.3388638,0.0,0.39631152,0.027358688,1.0,0.2405227,0.4962226,0.112907134,0.5130484,0.0,0.570417,0.3874179,0.34990686,0.1138841,0.1621735,0.30865592
surprise,0.41191745,0.59769446,0.45836523,0.38557386,0.27501658,0.0,0.5849686,0.0068091955,0.0,0.22334605,0.3159221,0.07523178,0.49779564,1.0,0.45428348,0.39122608,0.3984171,0.047982723,0.16552547,0.5375509
happy,0.3898208,0.56514364,0.60706574,0.2867081,0.53180885,0.0,0.633515,0.03683972,1.0,0.76746345,0.6857131,0.30010107,0.4707562,0.0,0.614007,0.550367,0.5509041,0.14942029,0.26481044,0.82207954
angry,0.48777997,0.40631774,0.8028255,0.29737738,0.27002785,0.0,0.45802656,0.24860542,0.0,0.27109203,0.29311043,0.19964592,0.34044388,1.0,0.72590494,0.40581506,0.9478715,0.39029932,0.34051108,0.17312962
surprise,0.54751253,0.3465405,0.63474125,0.363588,0.24614581,0.0,0.46763724,0.006191438,0.0,0.102113515,0.21563223,0.0191405,0.33685574,1.0,0.27407718,0.2700906,0.83189523,0.15233439,0.10073925,0.11889802
happy,0.40090767,0.3003096,0.7432437,0.2353912,0.4372436,1.0,0.5766972,0.58900505,1.0,0.8014748,0.7217501,0.25776613,0.33573347,0.0,0.517545,0.61081374,0.041312788,0.14930984,0.39372993,0.4893859
happy,0.37521827,0.32334554,0.30737224,0.3173874,0.37758675,1.0,0.5004099,0.02858619,1.0,0.75920045,0.40012318,0.38298032,0.46387938,0.0,0.6943339,0.52656376,0.42023575,0.05745577,0.13592096,0.5592655
angry,0.33176488,0.29040876,0.34272766,0.34531564,0.10935768,1.0,0.35100493,0.23184575,0.0,0.25703466,0.356474,0.22569217,0.3823534,0.0,0.4097394,0.22978161,0.2571176,0.15613894,0.34327358,0.19321644
neutral,0.16865098,0.3194196,0.20012991,0.30062106,0.19445947,0.0,0.36529317,0.006977563,1.0,0.06986203,0.2607374,0.09593924,0.46466383,0.0,0.37468654,0.32237875,0.013718339,0.13026136,0.049255665,0.24329181
disgust,0.39689893,0.14281039,0.2265999,0.3099065,0.30323148,1.0,0.2869434,0.16581754,1.0,0.11153405,0.17326237,0.110747,0.3749084,1.0,0.34172076,0.050748326,0.88596743,0.3994656,0.2239269,0.27725062
fear,0.51528895,0.16953348,0.3968293,0.30529767,0.21864736,0.0,0.34944928,0.63630986,0.0,0.24557592,0.69812065,0.14678931,0.36801568,0.0,0.40305442,0.46772715,0.01904557,0.05592839,0.071905315,0.10590071
neutral,0.2877141,0.33071125,0.47378612,0.25891328,0.4993892,0.0,0.43454212,0.41567987,1.0,0.60573304,0.7153281,0.5212949,0.4270253,1.0,0.43677545,0.6571977,0.1521078,0.04352124,0.40198013,0.33293027
disgust,0.41789705,0.33625278,0.8104484,0.4556117,0.23158774,0.0,0.4947953,0.024843913,1.0,0.15947333,0.49306208,0.6443564,0.46080408,0.0,0.52660954,0.5618734,0.076127514,0.042281523,0.11323444,0.11025872
happy,0.40955392,0.42543533,0.5636155,0.28092024,0.21956836,1.0,0.5223787,0.008031239,1.0,0.7674284,0.4049883,0.5316416,0.5086157,0.0,0.6787977,0.57012135,0.14587061,0.12401515,0.32253695,0.5033489
happy,0.27594462,0.19077934,0.19904582,0.2734332,0.5534506,0.0,0.629174,0.9862753,1.0,0.8133992,0.60343635,0.43900096,0.3898041,0.0,0.25888875,0.27719355,0.19260874,0.17799799,0.26506254,0.7650543
happy,0.3680783,0.26079723,0.7548819,0.27948445,0.7409589,1.0,0.49898237,0.5609976,0.0,0.9216021,0.7725199,0.29485866,0.5978639,0.0,0.46523482,0.737396,0.04567136,0.076627135,0.18471307,0.615331
fear,0.2745913,0.21396692,0.19994947,0.38636377,0.18668641,0.0,0.40894073,0.0075325402,0.0,0.23840763,0.41153923,0.38097018,0.42873576,0.0,0.44294512,0.75543344,0.31339908,0.18371293,0.2517565,0.45309687
happy,0.4462127,0.2944688,0.34359142,0.39034152,0.8854571,1.0,0.5883429,0.024613963,0.0,0.9386938,0.7099437,0.23347536,0.4429527,0.0,0.34978545,0.3119022,0.9867649,0.14099155,0.27903214,0.821686
sad,0.3345471,0.24448255,0.20824234,0.5395701,0.0846815,0.0,0.1331943,0.0010828612,0.0,0.020204889,0.35122886,0.18687144,0.3087983,0.0,0.3590958,0.2284934,0.7508557,0.23846751,0.07491859,0.039955985
fear,0.4346573,0.20836152,0.46435276,0.4366233,0.13876213,0.0,0.3879521,0.0026301963,0.0,0.07532562,0.17073016,0.18658721,0.41240436,0.0,0.5457578,0.18065631,0.23282197,0.089941174,0.16892605,0.13033865
